Content,Category Code
Diehard Croat fighters surrendered to Serbian forces on Monday after an 86-day siege.,0
Bosnian Serbs have returned at least four heavy weapons including a tank they had seized from the United Nations in Sarajevo.,0
NATO on Monday declined comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes.,0
"According to a Dutch banking expert, the conflict in Yugoslavia could have a negative impact on nearby Bosnia, further complicating efforts to sell off state-controlled banks.",0
An administration spokesman said the ongoing negotiations in the Middle East are likely to culminate in a peaceful accord by the weekend.,0
Colombian Marxist guerrillas claimed responsibility for the shooting death of a congressman early today.,0
U.S. Secretary of State Madeleine Albright mediated another discussion between Israeli and Palestinian negotiators in New York on Thursday. ,0
The European Community has begun negotiating an agreement with Israel establishing closer links in trade and cooperation.,0
"Taiwan's Vice Foreign Minister visited Russia today, becoming the island's highest ranking government official to go there.",0
 Russian President Boris Yeltsin on Saturday hosts Japanese Prime Minister Ryutaro Hashimoto in this Siberian city for an informal meeting aimed at establishing close personal relations between the two leaders.,0
German President Roman Herzog praised Nicaraguan President Violeta Chamorro on Monday for helping to install peace and democracy in the Central American nation.,0
President Clinton attended the Prime Minister's funeral today.,0
"Colombia's Interior Minister apologized Thursday night for the interpretations ""some United States authorities"" had put on a remark he made yesterday.",0
A Hong Kong tycoon on Thursday he had forgiven all but one member of a six person gang who tried to blackmail him after filming him in a homosexual encounter.,0
The Bosnian Serb parliament on Thursday ratified a long-delayed agreement on special links between Yugoslavia and Bosnia's Serb republic.,0
President Bill Clinton yesterday pledged U.S. support for the Philippines in the event of any conflict over the disputed Spratly Islands.,0
President Bill Clinton has pledged emergency economic aid to Russia.,0
Italian Defence Minister Carlo Scognamiglio pledged his country's full commitment to assist NATO's air campaign over Yugoslavia on Friday.,0
Russia pledged to do what it could to ease crippling food shortages in Armenia.,0
Bangladesh's President Abdur Rahman Biswas has assured the U.S. ambassador to Dhaka that elections will go ahead as planned on June 12.,1
Promise to or commit to mediate among adversaries.,0
"President Boris Yeltsin on Wednesday invited President Bill Clinton to a one-day summit to resolve the war in former Yugoslavia, Itar-Tass news agency said.",1
The U.S. granted asylum yesterday to a family with close ties to the opposition party in Nicaragua.,0
U.N. helicopters evacuated the wounded from the besieged Bosnian town of Gorazde on Friday.,1
Spain will open embassies in the former Soviet republics of Kazakhstan and Belarus Foreign Minister Francisco Fernandez Ordonez said on Thursday.,0
Tajikistan's President Imamali Rakhmonov on Thursday unilaterally extended a truce with Afghan-based rebels.,0
"Chinese officials are allowing a German journalist to report again after earlier banning him from the central town of Chaohu for reporting activities without permission, the reporter said on Wednesday.",1
"Tajikistan may allow foreign business people to conduct business without payment of high tariffs, Interfax news agency quoted director Mikhail Sinani as saying.",0
"The last Russian combat troops will leave Poland this week, completing an 18-month withdrawal, PAP news agency said on Sunday.",0
"Afghan President Najibullah lifted the nightly curfew in Kabul, government officials said.",0
"Russian troops have finally cleared Chechnya's devastated capital Grozny of mines and unexploded ordnances, RIA news agency said on Sunday.",1
Japan said on Wednesday it was lifting economic sanctions on Libya to encourage the country to become an accepted member of the international community.,0
The Israeli army said on Thursday it had lifted its siege of the Palestinian West Bank towns of Hebron and Ramallah but the town of Bethlehem and an area surrounding Jerusalem remained sealed off.,0
Indonesian police freed East Timorese protesters.,0
"Two bank robbers, who had struck twice in a week, returned $14,000 (9,222 pounds) in stolen cash to the bank in a southwest Colombian town.",0
Greenpeace received $5 million to support environmental improvement programs in Colombia's four largest cities.,0
"The United States continued to send arms to Pakistan last year, a State Department Spokesman said Wednesday.",0
"Israel on Tuesday it sent humanitarian aid to Colombia where a massive earthquake last week killed at least 938 people and injured 4,000.",0
Iraq celebrated President Saddam Hussein's 56th birthday on Wednesday with dancing girls and a parade of heavy weaponry.,0
Bosnian Foreign Minister Muhamed Sacirbey said on Friday that Bosnia would accept Russian troops as part of a peacekeeping force under certain conditions.,1
"Israeli Foreign Minister Shimon Peres has accepted his French counterpart Alain Juppe's offer to mediate between Israeli and Syrian officials, French foreign ministry officials said on Tuesday.",0
"Prime Minister Yitzhak Rabin agreed to negotiate the political fate of Jerusalem with Palestinians leaders, PLO officials said on Thursday.",0
"The Palestinian Authority agreed on Monday to a settlement proposed by Israel at the weekend on expanding self-rule in the West Bank, an authority member said.",0
Ecuador has agreed to cooperate more actively with Venezuela in energy and to step up their trade in oil.,0
Colombian officials launched an investigation Wednesday into accusations the Energy minister pressured the state-run oil company to sell cheap natural gas to a U.S. multinational with links to a private sector firm he once headed. ,0
"Iran's reformers appealed on Saturday to two of their top constituencies, promising expanded rights for women and greater freedom for students ahead of next week's parliamentary polls.",1
Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.,0
Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.,0
French President Jacques Chirac and U.S. President Bill Clinton asked NATO on Saturday to continue preparing for military intervention in Kosovo.,0
Georgian's Ambassador to the U.N. asked for food aid to help Tbilisi disaster victims.,0
International mediator Carl Bildt called for a criminal investigation into the death of a Moslem in a confrontation between Serbs and refugees trying to visit relatives' graves.,1
Nobel peace laureate Jose Ramos-Horta on Wednesday urged the United States to mediate for self-determination in East Timor which he said was a simpler problem than Bosnia or the Middle East. ,0
"NATO foreign ministers, stressing the need for a new relationship between the Western alliance and Russia, called on Tuesday for an immediate ceasefire in Chechnya.",0
German Foreign Minister Hans-Dietrich Genscher has called for a stronger United Nations presence in Serbia than the planned dispatch of observers.,1
"Some 800,000 Iraqi Kurds sought refuge in Germany last month.",0
"Serbs in Bosnia proposed a fresh ceasefire on Thursday, hours after shelling around Sarajevo shattered another truce.",0
Bosnia said on Tuesday it wanted to work towards re-opening peace talks with its separatist Serbs but indicated it was not prepared to suspend its current military offensive without an end to their three-year siege of Sarajevo.,0
Palestinian President Yasser Arafat offered during a visit to Islamabad on Friday to mediate in the dispute between arch-foes Pakistan and India over the Himalayan region of Kashmir.,0
The Council of Europe Parliamentary Assembly expelled Yugoslavia on Tuesday as a protest against the ethnic fighting that has killed thousands.,0
Bulgarian customs seized 41.5 kg (92 lbs) of heroin in a Bosnia-registered bus travelling from Istanbul to Sarajevo.,0
"Russian troops on Saturday seized the Chechen village of Borozdinovka close to the breakaway region's eastern border, Russian news agencies said.",0
Croatian troops have crossed a U.N. demarcation line on Thursday amid renewed fighting in the area.,1
French police on Tuesday arrested three political dissidents for their outspoken opposition to the recent call for elections.,1
French police on Tuesday arrested a suspected ring of car thieves.,1
A man in Union County carjacked a woman's Mazda Protege late Tuesday night.,0
"Twenty people, many among them foreign tourists, were kidnapped by armed assailants on Sipadan Island in Malaysian Borneo.",0
"Germany's secret service (BND) infiltrated and spied on the European Union observation mission to the former Yugoslavia, the German television network ARD said on Wednesday.",1
"Six United Nations peace-keeping soldiers were beaten up in Belgrade by unknown attackers, Norway's Defence Command said on Tuesday.",1
Afghanistan's Taleban movement on Friday chopped off the left foot and the right hand of one of its own members who was convicted of highway robbery.,1
"A Russian man repeatedly raped his 13-year-old sister-in-law after a quarrel, a Moscow police spokesman said on Monday.",0
"Two British mercenaries training Moslem forces in Bosnia were tortured, British Army Major Martin Waters said on Monday.",0
"Russian forces south of the Chechen capital Grozny blasted Chechen positions overnight before falling silent at dawn, witnesses said on Tuesday.",0
"NATO aircraft had engaged a Yugoslav fighter squadron in central Kosovo, said The Kosovo Liberation Army's (KLA) Kosovapress news agency.",1
The leader of a persecuted political party in Colombia was assassinated in the country's violent northwest.,0
"According to the European Union's envoy on Kosovo the Belgrade government was attempting a ""creeping coup"" in Montenegro, Serbia's junior partner in Yugoslavia. ",1
"Unidentified gunmen killed a Russian policeman and wounded two others after firing at them from a bombed-out building in the Chechen capital Grozny, Itar-Tass news agency said on Saturday.",0
"Gunmen fired rocket propelled grenades into a United Nations office in Baghdad during the night, causing damage but no casualties, the U.N. said on Sunday.",0
"Kuwaiti resistance fighters staged a suicide bomb attack on Iraqi targets, Kuwait's ambassador to France said on Friday.",0
"A landmine explosion killed four Russian peacekeepers and injured four more in the mountains of Tajikistan, Interfax news agency said on Friday. ",1
"A car bomb exploded in Bogota on Sunday, killing one policeman and injuring 20 others, police said. ",0
U.S. forces continue to launch cruise missiles at Taliban cave and tunnel complexes south of Jalalabad.,0
University students rioted in the streets of Blantyre on Friday following the death of a fellow student who was shot by riot police at a protest earlier in the week. ,1
A radical group sent a package containing anthrax to a Planned Parenthood clinic.,0
Envelopes containing radioactive material were sent to Japanese embassies last week. ,0
Troops took control of this provincial capital on Saturday after a spurt of looting by survivors of the earthquake that killed at least 938 people in western Colombia this week. ,1
"Egypt bought 120,000 tonnes of U.S. soft red winter wheat for loading between June 1-15.",1
Cargo carrier Atlas Air Inc. expects to buy five to seven new jumbo jets.,1
"The Russian city of Nizhnii Novgorod technically defaulted on an interest payment on its Eurobond after failing to persuade bondholders to approve a debt restructuring plan, media reported.",1
"In the wake of a long-running, unsuccessful search for new capital, eToys Inc. plans to file for bankruptcy protection in the next five to 10 days.",1
"Former Russian vice-president and sworn foe of Boris Yeltsin, Alexander Rutskoi, has won a local election in the central Kursk region by a landslide, seizing the post of governor and staging a remarkable political comeback.",1
"Russian President Boris Yeltsin has appointed his centre-right First Deputy Prime Minister Oleg Soskovets, to represent him in the rebel region of Chechnya.",1
A Philippine court sentenced a Russian sailor on Monday to at least 17 years in jail for possessing illegal firearms.,1
Twenty refugees in a Central African camp have died from the e-bola virus.,1
The mayor died of cancer today.,1
The mayor died today.,1
Taiwan's balance of payment in the third quarter plunged from surplus of eight consecutive quarters to deficit.,1
U.S. holdings of foreign currencies decreased $188 million in the Feb. 23 week to $30.73 billion.,1
The Japanese yen fell to a 15-year low.,1
Airlines earnings were reported to be above expectations.,1
Corporate earnings were reported lower than expected today.,1
Residential real estate prices throughout the nation held steady in January.,1
"Oil prices rose in early trading Friday, but there was no fundamental reason for the gains.",1
Anger mounts over Japanese Prime Minister Yoshiro Mori's tardy response to the sinking of a Japanese trawler off Hawaii.,1
Thousands of onlookers remembered the bombing of the Alfred P. Murrah Federal Building at the newly dedicated Oklahoma City National Memorial Center.,1
Many Russians live in dire poverty.,1
"Lightning struck a tree and killed five workers eating lunch in its shade, Philippine police said on Wednesday.",1
"Drought has destroyed 1.4 million acres (560,000 hectares) of rice in Bangladesh, mostly in the north, senior agriculture officials said on Friday. ",1
"A powerful undersea earthquake rocked the southern Philippine island of Mindanao on Wednesday, driving people into the streets and causing cracks in some buildings but no casualties, police said.",1
"Torrential rain has caused flooding over vast areas of southern Bangladesh, affecting about one million people, officials said on Saturday.",1
